"GEOGRAPHY_CODE"	"CELL"	"OBS_VALUE"
"E06000005"	"0"	76635
"E06000005"	"1"	2019
"E06000005"	"2"	34
"E06000005"	"3"	862
"E06000005"	"4"	3430
"E06000005"	"5"	441
"E06000005"	"6"	193
"E06000005"	"7"	30531
"E06000005"	"8"	3400
"E06000005"	"9"	1170
"E06000005"	"10"	6625
"E06000005"	"11"	309
"E06000005"	"12"	27621
"E06000047"	"0"	383796
"E06000047"	"1"	9642
"E06000047"	"2"	331
"E06000047"	"3"	1948
"E06000047"	"4"	13963
"E06000047"	"5"	1521
"E06000047"	"6"	1061
"E06000047"	"7"	154210
"E06000047"	"8"	17707
"E06000047"	"9"	2243
"E06000047"	"10"	23797
"E06000047"	"11"	1471
"E06000047"	"12"	155902
"E06000001"	"0"	66804
"E06000001"	"1"	1045
"E06000001"	"2"	33
"E06000001"	"3"	481
"E06000001"	"4"	2592
"E06000001"	"5"	700
"E06000001"	"6"	180
"E06000001"	"7"	23871
"E06000001"	"8"	3214
"E06000001"	"9"	723
"E06000001"	"10"	4514
"E06000001"	"11"	414
"E06000001"	"12"	29037
"E06000002"	"0"	100551
"E06000002"	"1"	1306
"E06000002"	"2"	44
"E06000002"	"3"	718
"E06000002"	"4"	4975
"E06000002"	"5"	957
"E06000002"	"6"	197
"E06000002"	"7"	32508
"E06000002"	"8"	4745
"E06000002"	"9"	1397
"E06000002"	"10"	7063
"E06000002"	"11"	637
"E06000002"	"12"	46004
"E06000057"	"0"	233224
"E06000057"	"1"	9195
"E06000057"	"2"	674
"E06000057"	"3"	1952
"E06000057"	"4"	7711
"E06000057"	"5"	588
"E06000057"	"6"	704
"E06000057"	"7"	96053
"E06000057"	"8"	9552
"E06000057"	"9"	2137
"E06000057"	"10"	16924
"E06000057"	"11"	1411
"E06000057"	"12"	86323
"E06000003"	"0"	99177
"E06000003"	"1"	1742
"E06000003"	"2"	43
"E06000003"	"3"	1193
"E06000003"	"4"	3372
"E06000003"	"5"	414
"E06000003"	"6"	259
"E06000003"	"7"	37919
"E06000003"	"8"	4054
"E06000003"	"9"	894
"E06000003"	"10"	5731
"E06000003"	"11"	733
"E06000003"	"12"	42823
"E06000004"	"0"	140654
"E06000004"	"1"	2847
"E06000004"	"2"	102
"E06000004"	"3"	1166
"E06000004"	"4"	5115
"E06000004"	"5"	642
"E06000004"	"6"	417
"E06000004"	"7"	60422
"E06000004"	"8"	6160
"E06000004"	"9"	1715
"E06000004"	"10"	7518
"E06000004"	"11"	1018
"E06000004"	"12"	53532
"E08000037"	"0"	148079
"E08000037"	"1"	2868
"E08000037"	"2"	4323
"E08000037"	"3"	733
"E08000037"	"4"	14106
"E08000037"	"5"	498
"E08000037"	"6"	371
"E08000037"	"7"	52698
"E08000037"	"8"	5954
"E08000037"	"9"	1342
"E08000037"	"10"	8425
"E08000037"	"11"	559
"E08000037"	"12"	56202
"E08000021"	"0"	212864
"E08000021"	"1"	3988
"E08000021"	"2"	6414
"E08000021"	"3"	1460
"E08000021"	"4"	22137
"E08000021"	"5"	1114
"E08000021"	"6"	352
"E08000021"	"7"	56851
"E08000021"	"8"	6867
"E08000021"	"9"	3308
"E08000021"	"10"	15993
"E08000021"	"11"	851
"E08000021"	"12"	93529
"E08000022"	"0"	147889
"E08000022"	"1"	3238
"E08000022"	"2"	8650
"E08000022"	"3"	1454
"E08000022"	"4"	8714
"E08000022"	"5"	801
"E08000022"	"6"	479
"E08000022"	"7"	55227
"E08000022"	"8"	6085
"E08000022"	"9"	2399
"E08000022"	"10"	7974
"E08000022"	"11"	1005
"E08000022"	"12"	51863
"E08000023"	"0"	108981
"E08000023"	"1"	1567
"E08000023"	"2"	5747
"E08000023"	"3"	1130
"E08000023"	"4"	6288
"E08000023"	"5"	334
"E08000023"	"6"	344
"E08000023"	"7"	36578
"E08000023"	"8"	3863
"E08000023"	"9"	1423
"E08000023"	"10"	6070
"E08000023"	"11"	1278
"E08000023"	"12"	44359
"E08000024"	"0"	205552
"E08000024"	"1"	3071
"E08000024"	"2"	2798
"E08000024"	"3"	921
"E08000024"	"4"	15374
"E08000024"	"5"	795
"E08000024"	"6"	526
"E08000024"	"7"	73959
"E08000024"	"8"	9557
"E08000024"	"9"	1610
"E08000024"	"10"	11899
"E08000024"	"11"	1001
"E08000024"	"12"	84041
"E06000008"	"0"	104417
"E06000008"	"1"	2269
"E06000008"	"2"	43
"E06000008"	"3"	1003
"E06000008"	"4"	3297
"E06000008"	"5"	1133
"E06000008"	"6"	322
"E06000008"	"7"	38582
"E06000008"	"8"	5034
"E06000008"	"9"	600
"E06000008"	"10"	7874
"E06000008"	"11"	366
"E06000008"	"12"	43894
"E06000009"	"0"	103813
"E06000009"	"1"	3305
"E06000009"	"2"	41
"E06000009"	"3"	528
"E06000009"	"4"	5252
"E06000009"	"5"	619
"E06000009"	"6"	562
"E06000009"	"7"	34724
"E06000009"	"8"	4670
"E06000009"	"9"	1948
"E06000009"	"10"	9191
"E06000009"	"11"	579
"E06000009"	"12"	42394
"E06000049"	"0"	270953
"E06000049"	"1"	13462
"E06000049"	"2"	262
"E06000049"	"3"	5269
"E06000049"	"4"	3326
"E06000049"	"5"	582
"E06000049"	"6"	1188
"E06000049"	"7"	124069
"E06000049"	"8"	9216
"E06000049"	"9"	4761
"E06000049"	"10"	17939
"E06000049"	"11"	1062
"E06000049"	"12"	89817
"E06000050"	"0"	243155
"E06000050"	"1"	9450
"E06000050"	"2"	263
"E06000050"	"3"	3262
"E06000050"	"4"	5566
"E06000050"	"5"	871
"E06000050"	"6"	1033
"E06000050"	"7"	109464
"E06000050"	"8"	8947
"E06000050"	"9"	4284
"E06000050"	"10"	15987
"E06000050"	"11"	1011
