"GEOGRAPHY_CODE"	"CELL"	"OBS_VALUE"
"E02002559"	"0"	3646
"E02002559"	"1"	6
"E02002559"	"2"	107
"E02002559"	"3"	689
"E02002559"	"4"	1554
"E02002559"	"5"	1001
"E02002559"	"6"	289
"E02002560"	"0"	2511
"E02002560"	"1"	0
"E02002560"	"2"	30
"E02002560"	"3"	831
"E02002560"	"4"	1297
"E02002560"	"5"	290
"E02002560"	"6"	63
"E02002561"	"0"	2507
"E02002561"	"1"	4
"E02002561"	"2"	119
"E02002561"	"3"	728
"E02002561"	"4"	1148
"E02002561"	"5"	476
"E02002561"	"6"	32
"E02002562"	"0"	2933
"E02002562"	"1"	5
"E02002562"	"2"	553
"E02002562"	"3"	1308
"E02002562"	"4"	856
"E02002562"	"5"	192
"E02002562"	"6"	19
"E02002563"	"0"	2343
"E02002563"	"1"	3
"E02002563"	"2"	115
"E02002563"	"3"	779
"E02002563"	"4"	1246
"E02002563"	"5"	171
"E02002563"	"6"	29
"E02002564"	"0"	4137
"E02002564"	"1"	7
"E02002564"	"2"	463
"E02002564"	"3"	1215
"E02002564"	"4"	2146
"E02002564"	"5"	279
"E02002564"	"6"	27
"E02002565"	"0"	2667
"E02002565"	"1"	4
"E02002565"	"2"	94
"E02002565"	"3"	1477
"E02002565"	"4"	947
"E02002565"	"5"	114
"E02002565"	"6"	31
"E02002566"	"0"	3475
"E02002566"	"1"	19
"E02002566"	"2"	787
"E02002566"	"3"	1670
"E02002566"	"4"	649
"E02002566"	"5"	211
"E02002566"	"6"	139
"E02002567"	"0"	3209
"E02002567"	"1"	9
"E02002567"	"2"	252
"E02002567"	"3"	1372
"E02002567"	"4"	1411
"E02002567"	"5"	140
"E02002567"	"6"	25
"E02002568"	"0"	2634
"E02002568"	"1"	6
"E02002568"	"2"	326
"E02002568"	"3"	506
"E02002568"	"4"	805
"E02002568"	"5"	656
"E02002568"	"6"	335
"E02002569"	"0"	3912
"E02002569"	"1"	2
"E02002569"	"2"	160
"E02002569"	"3"	684
"E02002569"	"4"	1867
"E02002569"	"5"	994
"E02002569"	"6"	205
"E02002570"	"0"	3723
"E02002570"	"1"	23
"E02002570"	"2"	576
"E02002570"	"3"	1505
"E02002570"	"4"	1380
"E02002570"	"5"	199
"E02002570"	"6"	40
"E02002571"	"0"	2758
"E02002571"	"1"	7
"E02002571"	"2"	245
"E02002571"	"3"	1072
"E02002571"	"4"	1300
"E02002571"	"5"	111
"E02002571"	"6"	23
"E02002572"	"0"	2727
"E02002572"	"1"	5
"E02002572"	"2"	289
"E02002572"	"3"	1002
"E02002572"	"4"	1104
"E02002572"	"5"	202
"E02002572"	"6"	125
"E02002573"	"0"	3488
"E02002573"	"1"	3
"E02002573"	"2"	126
"E02002573"	"3"	807
"E02002573"	"4"	1380
"E02002573"	"5"	946
"E02002573"	"6"	226
"E02004290"	"0"	2518
"E02004290"	"1"	8
"E02004290"	"2"	125
"E02004290"	"3"	556
"E02004290"	"4"	1352
"E02004290"	"5"	395
"E02004290"	"6"	82
"E02004291"	"0"	3131
"E02004291"	"1"	1
"E02004291"	"2"	179
"E02004291"	"3"	1260
"E02004291"	"4"	1468
"E02004291"	"5"	178
"E02004291"	"6"	45
"E02004292"	"0"	3523
"E02004292"	"1"	5
"E02004292"	"2"	225
"E02004292"	"3"	906
"E02004292"	"4"	1709
"E02004292"	"5"	558
"E02004292"	"6"	120
"E02004293"	"0"	4412
"E02004293"	"1"	6
"E02004293"	"2"	756
"E02004293"	"3"	1014
"E02004293"	"4"	2330
"E02004293"	"5"	246
"E02004293"	"6"	60
"E02004294"	"0"	3655
"E02004294"	"1"	13
"E02004294"	"2"	89
"E02004294"	"3"	1245
"E02004294"	"4"	1305
"E02004294"	"5"	847
"E02004294"	"6"	156
"E02004295"	"0"	3213
"E02004295"	"1"	3
"E02004295"	"2"	124
"E02004295"	"3"	1038
"E02004295"	"4"	1398
"E02004295"	"5"	560
"E02004295"	"6"	90
"E02004296"	"0"	3529
"E02004296"	"1"	6
"E02004296"	"2"	232
"E02004296"	"3"	1114
"E02004296"	"4"	1746
"E02004296"	"5"	376
"E02004296"	"6"	55
"E02004297"	"0"	3550
"E02004297"	"1"	2
"E02004297"	"2"	135
"E02004297"	"3"	1176
"E02004297"	"4"	1695
"E02004297"	"5"	458
"E02004297"	"6"	84
"E02004298"	"0"	4178
"E02004298"	"1"	3
"E02004298"	"2"	87
"E02004298"	"3"	1161
"E02004298"	"4"	1949
"E02004298"	"5"	777
"E02004298"	"6"	201
"E02004299"	"0"	3758
"E02004299"	"1"	10
"E02004299"	"2"	119
"E02004299"	"3"	1340
"E02004299"	"4"	1823
"E02004299"	"5"	393
"E02004299"	"6"	73
"E02004300"	"0"	3491
"E02004300"	"1"	3
"E02004300"	"2"	67
"E02004300"	"3"	1557
"E02004300"	"4"	1529
"E02004300"	"5"	275
"E02004300"	"6"	60
"E02004301"	"0"	3913
"E02004301"	"1"	5
"E02004301"	"2"	141
"E02004301"	"3"	1645
"E02004301"	"4"	1924
"E02004301"	"5"	160
"E02004301"	"6"	38
"E02004302"	"0"	3530
"E02004302"	"1"	3
"E02004302"	"2"	196
"E02004302"	"3"	1436
"E02004302"	"4"	1625
"E02004302"	"5"	212
"E02004302"	"6"	58
"E02004303"	"0"	5253
"E02004303"	"1"	17
"E02004303"	"2"	314
"E02004303"	"3"	2263
"E02004303"	"4"	1893
"E02004303"	"5"	681
"E02004303"	"6"	85
"E02004304"	"0"	3896
"E02004304"	"1"	3
"E02004304"	"2"	106
"E02004304"	"3"	1191
"E02004304"	"4"	2066
"E02004304"	"5"	418
"E02004304"	"6"	112
"E02004305"	"0"	3816
"E02004305"	"1"	5
"E02004305"	"2"	99
"E02004305"	"3"	1125
"E02004305"	"4"	2111
"E02004305"	"5"	386
"E02004305"	"6"	90
"E02004306"	"0"	2681
"E02004306"	"1"	3
"E02004306"	"2"	89
"E02004306"	"3"	715
"E02004306"	"4"	1344
"E02004306"	"5"	428
"E02004306"	"6"	102
"E02004307"	"0"	2878
"E02004307"	"1"	3
"E02004307"	"2"	75
"E02004307"	"3"	1118
"E02004307"	"4"	1189
"E02004307"	"5"	402
"E02004307"	"6"	91
"E02004308"	"0"	2987
"E02004308"	"1"	2
"E02004308"	"2"	90
"E02004308"	"3"	711
"E02004308"	"4"	1345
