"GEOGRAPHY_CODE"	"CELL"	"OBS_VALUE"
"E06000005"	"0"	46670
"E06000005"	"1"	103
"E06000005"	"2"	4242
"E06000005"	"3"	15645
"E06000005"	"4"	19090
"E06000005"	"5"	5982
"E06000005"	"6"	1608
"E06000047"	"0"	223803
"E06000047"	"1"	359
"E06000047"	"2"	13863
"E06000047"	"3"	75824
"E06000047"	"4"	99941
"E06000047"	"5"	27295
"E06000047"	"6"	6521
"E06000001"	"0"	40434
"E06000001"	"1"	89
"E06000001"	"2"	3480
"E06000001"	"3"	11892
"E06000001"	"4"	18480
"E06000001"	"5"	4939
"E06000001"	"6"	1554
"E06000002"	"0"	57203
"E06000002"	"1"	122
"E06000002"	"2"	5084
"E06000002"	"3"	14732
"E06000002"	"4"	29091
"E06000002"	"5"	6481
"E06000002"	"6"	1693
"E06000057"	"0"	138534
"E06000057"	"1"	220
"E06000057"	"2"	10772
"E06000057"	"3"	40698
"E06000057"	"4"	59864
"E06000057"	"5"	20701
"E06000057"	"6"	6279
"E06000003"	"0"	59605
"E06000003"	"1"	100
"E06000003"	"2"	4797
"E06000003"	"3"	16063
"E06000003"	"4"	29517
"E06000003"	"5"	7498
"E06000003"	"6"	1630
"E06000004"	"0"	79159
"E06000004"	"1"	117
"E06000004"	"2"	6128
"E06000004"	"3"	18247
"E06000004"	"4"	38469
"E06000004"	"5"	13163
"E06000004"	"6"	3035
"E08000037"	"0"	89154
"E08000037"	"1"	215
"E08000037"	"2"	8207
"E08000037"	"3"	34122
"E08000037"	"4"	36845
"E08000037"	"5"	7604
"E08000037"	"6"	2161
"E08000021"	"0"	117153
"E08000021"	"1"	313
"E08000021"	"2"	13394
"E08000021"	"3"	38243
"E08000021"	"4"	46950
"E08000021"	"5"	11517
"E08000021"	"6"	6736
"E08000022"	"0"	91295
"E08000022"	"1"	150
"E08000022"	"2"	8962
"E08000022"	"3"	29925
"E08000022"	"4"	39186
"E08000022"	"5"	10217
"E08000022"	"6"	2855
"E08000023"	"0"	67167
"E08000023"	"1"	115
"E08000023"	"2"	7020
"E08000023"	"3"	22092
"E08000023"	"4"	31479
"E08000023"	"5"	5112
"E08000023"	"6"	1349
"E08000024"	"0"	119758
"E08000024"	"1"	235
"E08000024"	"2"	12039
"E08000024"	"3"	40407
"E08000024"	"4"	51438
"E08000024"	"5"	12705
"E08000024"	"6"	2934
"E06000008"	"0"	57353
"E06000008"	"1"	174
"E06000008"	"2"	5067
"E06000008"	"3"	19375
"E06000008"	"4"	23943
"E06000008"	"5"	7000
"E06000008"	"6"	1794
"E06000009"	"0"	64367
"E06000009"	"1"	256
"E06000009"	"2"	10460
"E06000009"	"3"	16923
"E06000009"	"4"	28763
"E06000009"	"5"	6259
"E06000009"	"6"	1706
"E06000049"	"0"	159441
"E06000049"	"1"	237
"E06000049"	"2"	11423
"E06000049"	"3"	42285
"E06000049"	"4"	63855
"E06000049"	"5"	31899
"E06000049"	"6"	9742
"E06000050"	"0"	141442
"E06000050"	"1"	251
"E06000050"	"2"	9903
"E06000050"	"3"	33370
"E06000050"	"4"	66252
"E06000050"	"5"	24750
"E06000050"	"6"	6916
"E06000006"	"0"	53312
"E06000006"	"1"	112
"E06000006"	"2"	4376
"E06000006"	"3"	12677
"E06000006"	"4"	27937
"E06000006"	"5"	7024
"E06000006"	"6"	1186
"E06000007"	"0"	85140
"E06000007"	"1"	140
"E06000007"	"2"	7697
"E06000007"	"3"	20122
"E06000007"	"4"	39931
"E06000007"	"5"	13967
"E06000007"	"6"	3283
"E07000026"	"0"	42345
"E07000026"	"1"	56
"E07000026"	"2"	2110
"E07000026"	"3"	11801
"E07000026"	"4"	20272
"E07000026"	"5"	6036
"E07000026"	"6"	2070
"E07000027"	"0"	31224
"E07000027"	"1"	56
"E07000027"	"2"	2435
"E07000027"	"3"	10898
"E07000027"	"4"	14080
"E07000027"	"5"	2981
"E07000027"	"6"	774
"E07000028"	"0"	48342
"E07000028"	"1"	90
"E07000028"	"2"	3610
"E07000028"	"3"	15751
"E07000028"	"4"	20575
"E07000028"	"5"	6451
"E07000028"	"6"	1865
"E07000029"	"0"	30536
"E07000029"	"1"	61
"E07000029"	"2"	1189
"E07000029"	"3"	7952
"E07000029"	"4"	15809
"E07000029"	"5"	4214
"E07000029"	"6"	1311
"E07000030"	"0"	23043
"E07000030"	"1"	27
"E07000030"	"2"	1342
"E07000030"	"3"	5676
"E07000030"	"4"	10216
"E07000030"	"5"	4345
"E07000030"	"6"	1437
"E07000031"	"0"	46552
"E07000031"	"1"	87
"E07000031"	"2"	3409
"E07000031"	"3"	13012
"E07000031"	"4"	19870
"E07000031"	"5"	7493
"E07000031"	"6"	2681
"E08000001"	"0"	116371
"E08000001"	"1"	232
"E08000001"	"2"	11871
"E08000001"	"3"	39447
"E08000001"	"4"	48024
"E08000001"	"5"	13416
"E08000001"	"6"	3381
"E08000002"	"0"	78113
"E08000002"	"1"	160
"E08000002"	"2"	6882
"E08000002"	"3"	23682
"E08000002"	"4"	34249
"E08000002"	"5"	10619
"E08000002"	"6"	2521
"E08000003"	"0"	204969
"E08000003"	"1"	693
"E08000003"	"2"	33137
"E08000003"	"3"	65639
"E08000003"	"4"	82942
"E08000003"	"5"	15776
"E08000003"	"6"	6782
"E08000004"	"0"	89703
"E08000004"	"1"	200
"E08000004"	"2"	8041
"E08000004"	"3"	33359
"E08000004"	"4"	36544
"E08000004"	"5"	9110
"E08000004"	"6"	2449
"E08000005"	"0"	87552
"E08000005"	"1"	243
"E08000005"	"2"	9839
"E08000005"	"3"	28060
"E08000005"	"4"	37033
"E08000005"	"5"	9929
"E08000005"	"6"	2448
"E08000006"	"0"	103556
"E08000006"	"1"	255
"E08000006"	"2"	13797
"E08000006"	"3"	35592
"E08000006"	"4"	42491
"E08000006"	"5"	8733
"E08000006"	"6"	2688
"E08000007"	"0"	121979
"E08000007"	"1"	258
"E08000007"	"2"	11231
"E08000007"	"3"	33050
"E08000007"	"4"	53800
"E08000007"	"5"	18321
"E08000007"	"6"	5319
"E08000008"	"0"	94953
"E08000008"	"1"	186
"E08000008"	"2"	9813
"E08000008"	"3"	33179
"E08000008"	"4"	41244
"E08000008"	"5"	8664
"E08000008"	"6"	1867
"E08000009"	"0"	94484
"E08000009"	"1"	163
"E08000009"	"2"	8539
"E08000009"	"3"	21536
"E08000009"	"4"	45069
"E08000009"	"5"	14017
"E08000009"	"6"	5160
"E08000010"	"0"	136386
"E08000010"	"1"	231
"E08000010"	"2"	9999
"E08000010"	"3"	39854
"E08000010"	"4"	68148
"E08000010"	"5"	15614
"E08000010"	"6"	2540
"E07000117"	"0"	37550
"E07000117"	"1"	74
"E07000117"	"2"	3266
"E07000117"	"3"	14815
"E07000117"	"4"	14951
"E07000117"	"5"	3625
"E07000117"	"6"	819
"E07000118"	"0"	44919
"E07000118"	"1"	78
"E07000118"	"2"	3238
"E07000118"	"3"	11705
"E07000118"	"4"	20262
"E07000118"	"5"	8041
"E07000118"	"6"	1595
"E07000119"	"0"	34885
"E07000119"	"1"	64
"E07000119"	"2"	3594
"E07000119"	"3"	10367
"E07000119"	"4"	13142
"E07000119"	"5"	6078
"E07000119"	"6"	1640
"E07000120"	"0"	34341
"E07000120"	"1"	77
"E07000120"	"2"	2932
"E07000120"	"3"	14610
"E07000120"	"4"	12783
