"GEOGRAPHY_CODE"	"CELL"	"OBS_VALUE"
"E02002559"	"0"	2767
"E02002559"	"1"	1594
"E02002559"	"2"	182
"E02002559"	"3"	137
"E02002559"	"4"	203
"E02002559"	"5"	213
"E02002559"	"6"	195
"E02002559"	"7"	87
"E02002559"	"8"	81
"E02002559"	"9"	62
"E02002559"	"10"	13
"E02002559"	"11"	2062
"E02002560"	"0"	1871
"E02002560"	"1"	1084
"E02002560"	"2"	106
"E02002560"	"3"	75
"E02002560"	"4"	186
"E02002560"	"5"	126
"E02002560"	"6"	125
"E02002560"	"7"	63
"E02002560"	"8"	50
"E02002560"	"9"	51
"E02002560"	"10"	5
"E02002560"	"11"	1355
"E02002561"	"0"	1835
"E02002561"	"1"	1158
"E02002561"	"2"	110
"E02002561"	"3"	81
"E02002561"	"4"	167
"E02002561"	"5"	88
"E02002561"	"6"	94
"E02002561"	"7"	54
"E02002561"	"8"	47
"E02002561"	"9"	28
"E02002561"	"10"	8
"E02002561"	"11"	1109
"E02002562"	"0"	1644
"E02002562"	"1"	852
"E02002562"	"2"	147
"E02002562"	"3"	106
"E02002562"	"4"	169
"E02002562"	"5"	120
"E02002562"	"6"	96
"E02002562"	"7"	58
"E02002562"	"8"	58
"E02002562"	"9"	33
"E02002562"	"10"	5
"E02002562"	"11"	1296
"E02002563"	"0"	1621
"E02002563"	"1"	1002
"E02002563"	"2"	96
"E02002563"	"3"	59
"E02002563"	"4"	156
"E02002563"	"5"	75
"E02002563"	"6"	88
"E02002563"	"7"	39
"E02002563"	"8"	56
"E02002563"	"9"	48
"E02002563"	"10"	2
"E02002563"	"11"	1084
"E02002564"	"0"	2782
"E02002564"	"1"	1498
"E02002564"	"2"	160
"E02002564"	"3"	171
"E02002564"	"4"	294
"E02002564"	"5"	176
"E02002564"	"6"	176
"E02002564"	"7"	90
"E02002564"	"8"	131
"E02002564"	"9"	74
"E02002564"	"10"	12
"E02002564"	"11"	2265
"E02002565"	"0"	1607
"E02002565"	"1"	909
"E02002565"	"2"	160
"E02002565"	"3"	109
"E02002565"	"4"	145
"E02002565"	"5"	106
"E02002565"	"6"	78
"E02002565"	"7"	40
"E02002565"	"8"	36
"E02002565"	"9"	20
"E02002565"	"10"	4
"E02002565"	"11"	1069
"E02002566"	"0"	1647
"E02002566"	"1"	864
"E02002566"	"2"	197
"E02002566"	"3"	84
"E02002566"	"4"	145
"E02002566"	"5"	111
"E02002566"	"6"	78
"E02002566"	"7"	30
"E02002566"	"8"	84
"E02002566"	"9"	45
"E02002566"	"10"	9
"E02002566"	"11"	1370
"E02002567"	"0"	2090
"E02002567"	"1"	1122
"E02002567"	"2"	195
"E02002567"	"3"	123
"E02002567"	"4"	180
"E02002567"	"5"	127
"E02002567"	"6"	97
"E02002567"	"7"	76
"E02002567"	"8"	102
"E02002567"	"9"	66
"E02002567"	"10"	2
"E02002567"	"11"	1714
"E02002568"	"0"	1678
"E02002568"	"1"	987
"E02002568"	"2"	75
"E02002568"	"3"	67
"E02002568"	"4"	136
"E02002568"	"5"	97
"E02002568"	"6"	143
"E02002568"	"7"	71
"E02002568"	"8"	46
"E02002568"	"9"	49
"E02002568"	"10"	7
"E02002568"	"11"	1237
"E02002569"	"0"	2906
"E02002569"	"1"	1925
"E02002569"	"2"	91
"E02002569"	"3"	87
"E02002569"	"4"	239
"E02002569"	"5"	118
"E02002569"	"6"	205
"E02002569"	"7"	120
"E02002569"	"8"	49
"E02002569"	"9"	65
"E02002569"	"10"	7
"E02002569"	"11"	1709
"E02002570"	"0"	2243
"E02002570"	"1"	1200
"E02002570"	"2"	223
"E02002570"	"3"	121
"E02002570"	"4"	183
"E02002570"	"5"	123
"E02002570"	"6"	140
"E02002570"	"7"	89
"E02002570"	"8"	102
"E02002570"	"9"	53
"E02002570"	"10"	9
"E02002570"	"11"	1807
"E02002571"	"0"	1926
"E02002571"	"1"	973
"E02002571"	"2"	200
"E02002571"	"3"	105
"E02002571"	"4"	156
"E02002571"	"5"	133
"E02002571"	"6"	141
"E02002571"	"7"	48
"E02002571"	"8"	123
"E02002571"	"9"	42
"E02002571"	"10"	5
"E02002571"	"11"	1674
"E02002572"	"0"	1782
"E02002572"	"1"	877
"E02002572"	"2"	164
"E02002572"	"3"	112
"E02002572"	"4"	171
"E02002572"	"5"	123
"E02002572"	"6"	107
"E02002572"	"7"	65
"E02002572"	"8"	79
"E02002572"	"9"	75
"E02002572"	"10"	9
"E02002572"	"11"	1622
"E02002573"	"0"	2567
"E02002573"	"1"	1564
"E02002573"	"2"	167
"E02002573"	"3"	109
"E02002573"	"4"	225
"E02002573"	"5"	143
"E02002573"	"6"	170
"E02002573"	"7"	81
"E02002573"	"8"	66
"E02002573"	"9"	36
"E02002573"	"10"	6
"E02002573"	"11"	1656
"E02004290"	"0"	1910
"E02004290"	"1"	1174
"E02004290"	"2"	114
"E02004290"	"3"	96
"E02004290"	"4"	171
"E02004290"	"5"	99
"E02004290"	"6"	134
"E02004290"	"7"	49
"E02004290"	"8"	42
"E02004290"	"9"	25
"E02004290"	"10"	6
"E02004290"	"11"	1191
"E02004291"	"0"	2003
"E02004291"	"1"	1155
"E02004291"	"2"	144
"E02004291"	"3"	114
"E02004291"	"4"	202
"E02004291"	"5"	119
"E02004291"	"6"	118
"E02004291"	"7"	67
"E02004291"	"8"	52
"E02004291"	"9"	25
"E02004291"	"10"	7
"E02004291"	"11"	1365
"E02004292"	"0"	2528
"E02004292"	"1"	1640
"E02004292"	"2"	125
"E02004292"	"3"	120
"E02004292"	"4"	189
"E02004292"	"5"	137
"E02004292"	"6"	145
"E02004292"	"7"	77
"E02004292"	"8"	52
"E02004292"	"9"	37
"E02004292"	"10"	6
"E02004292"	"11"	1479
"E02004293"	"0"	2594
"E02004293"	"1"	1421
"E02004293"	"2"	194
"E02004293"	"3"	174
"E02004293"	"4"	276
"E02004293"	"5"	153
"E02004293"	"6"	166
"E02004293"	"7"	88
"E02004293"	"8"	74
