"GEOGRAPHY_CODE"	"CELL"	"OBS_VALUE"
"E00062207"	"0"	114
"E00062207"	"1"	2
"E00062207"	"2"	21
"E00062207"	"3"	22
"E00062207"	"4"	47
"E00062207"	"5"	11
"E00062207"	"6"	0
"E00062207"	"7"	11
"E00062208"	"0"	174
"E00062208"	"1"	0
"E00062208"	"2"	89
"E00062208"	"3"	6
"E00062208"	"4"	67
"E00062208"	"5"	2
"E00062208"	"6"	3
"E00062208"	"7"	7
"E00062209"	"0"	94
"E00062209"	"1"	1
"E00062209"	"2"	13
"E00062209"	"3"	8
"E00062209"	"4"	62
"E00062209"	"5"	3
"E00062209"	"6"	2
"E00062209"	"7"	5
"E00062210"	"0"	52
"E00062210"	"1"	0
"E00062210"	"2"	8
"E00062210"	"3"	8
"E00062210"	"4"	23
"E00062210"	"5"	4
"E00062210"	"6"	3
"E00062210"	"7"	6
"E00062211"	"0"	60
"E00062211"	"1"	1
"E00062211"	"2"	25
"E00062211"	"3"	9
"E00062211"	"4"	16
"E00062211"	"5"	1
"E00062211"	"6"	1
"E00062211"	"7"	7
"E00062212"	"0"	99
"E00062212"	"1"	2
"E00062212"	"2"	13
"E00062212"	"3"	3
"E00062212"	"4"	47
"E00062212"	"5"	5
"E00062212"	"6"	1
"E00062212"	"7"	28
"E00174202"	"0"	123
"E00174202"	"1"	1
"E00174202"	"2"	106
"E00174202"	"3"	0
"E00174202"	"4"	8
"E00174202"	"5"	1
"E00174202"	"6"	2
"E00174202"	"7"	5
"E00174206"	"0"	123
"E00174206"	"1"	0
"E00174206"	"2"	117
"E00174206"	"3"	2
"E00174206"	"4"	0
"E00174206"	"5"	0
"E00174206"	"6"	0
"E00174206"	"7"	4
"E00174208"	"0"	123
"E00174208"	"1"	5
"E00174208"	"2"	74
"E00174208"	"3"	1
"E00174208"	"4"	28
"E00174208"	"5"	8
"E00174208"	"6"	0
"E00174208"	"7"	7
"E00062202"	"0"	118
"E00062202"	"1"	2
"E00062202"	"2"	108
"E00062202"	"3"	2
"E00062202"	"4"	1
"E00062202"	"5"	0
"E00062202"	"6"	0
"E00062202"	"7"	5
"E00062203"	"0"	135
"E00062203"	"1"	1
"E00062203"	"2"	111
"E00062203"	"3"	16
"E00062203"	"4"	4
"E00062203"	"5"	1
"E00062203"	"6"	0
"E00062203"	"7"	2
"E00062204"	"0"	120
"E00062204"	"1"	1
"E00062204"	"2"	108
"E00062204"	"3"	0
"E00062204"	"4"	5
"E00062204"	"5"	1
"E00062204"	"6"	0
"E00062204"	"7"	5
"E00062205"	"0"	124
"E00062205"	"1"	0
"E00062205"	"2"	111
"E00062205"	"3"	1
"E00062205"	"4"	2
"E00062205"	"5"	1
"E00062205"	"6"	1
"E00062205"	"7"	8
"E00062206"	"0"	123
"E00062206"	"1"	1
"E00062206"	"2"	113
"E00062206"	"3"	2
"E00062206"	"4"	1
"E00062206"	"5"	2
"E00062206"	"6"	1
"E00062206"	"7"	3
"E00062379"	"0"	150
"E00062379"	"1"	1
"E00062379"	"2"	21
"E00062379"	"3"	17
"E00062379"	"4"	94
"E00062379"	"5"	8
"E00062379"	"6"	2
"E00062379"	"7"	7
