"GEOGRAPHY_CODE"	"CELL"	"OBS_VALUE"
"E02002559"	"0"	3646
"E02002559"	"1"	1218
"E02002559"	"2"	1925
"E02002559"	"3"	387
"E02002559"	"4"	116
"E02002560"	"0"	2511
"E02002560"	"1"	681
"E02002560"	"2"	1324
"E02002560"	"3"	374
"E02002560"	"4"	132
"E02002561"	"0"	2507
"E02002561"	"1"	743
"E02002561"	"2"	1378
"E02002561"	"3"	271
"E02002561"	"4"	115
"E02002562"	"0"	2933
"E02002562"	"1"	809
"E02002562"	"2"	1533
"E02002562"	"3"	360
"E02002562"	"4"	231
"E02002563"	"0"	2343
"E02002563"	"1"	685
"E02002563"	"2"	1222
"E02002563"	"3"	284
"E02002563"	"4"	152
"E02002564"	"0"	4137
"E02002564"	"1"	1017
"E02002564"	"2"	2191
"E02002564"	"3"	592
"E02002564"	"4"	337
"E02002565"	"0"	2667
"E02002565"	"1"	985
"E02002565"	"2"	1221
"E02002565"	"3"	321
"E02002565"	"4"	140
"E02002566"	"0"	3475
"E02002566"	"1"	1088
"E02002566"	"2"	1768
"E02002566"	"3"	336
"E02002566"	"4"	283
"E02002567"	"0"	3209
"E02002567"	"1"	908
"E02002567"	"2"	1591
"E02002567"	"3"	426
"E02002567"	"4"	284
"E02002568"	"0"	2634
"E02002568"	"1"	984
"E02002568"	"2"	1362
"E02002568"	"3"	193
"E02002568"	"4"	95
"E02002569"	"0"	3912
"E02002569"	"1"	1338
"E02002569"	"2"	2112
"E02002569"	"3"	369
"E02002569"	"4"	93
"E02002570"	"0"	3723
"E02002570"	"1"	980
"E02002570"	"2"	1938
"E02002570"	"3"	467
"E02002570"	"4"	338
"E02002571"	"0"	2758
"E02002571"	"1"	621
"E02002571"	"2"	1441
"E02002571"	"3"	410
"E02002571"	"4"	286
"E02002572"	"0"	2727
"E02002572"	"1"	748
"E02002572"	"2"	1366
"E02002572"	"3"	370
"E02002572"	"4"	243
"E02002573"	"0"	3488
"E02002573"	"1"	1247
"E02002573"	"2"	1789
"E02002573"	"3"	344
"E02002573"	"4"	108
"E02004290"	"0"	2518
"E02004290"	"1"	642
"E02004290"	"2"	1459
"E02004290"	"3"	320
"E02004290"	"4"	97
"E02004291"	"0"	3131
"E02004291"	"1"	1013
"E02004291"	"2"	1553
"E02004291"	"3"	418
"E02004291"	"4"	147
"E02004292"	"0"	3523
"E02004292"	"1"	1076
"E02004292"	"2"	1905
"E02004292"	"3"	387
"E02004292"	"4"	155
"E02004293"	"0"	4412
"E02004293"	"1"	1181
"E02004293"	"2"	2468
"E02004293"	"3"	495
"E02004293"	"4"	268
"E02004294"	"0"	3655
"E02004294"	"1"	1196
"E02004294"	"2"	1989
"E02004294"	"3"	365
"E02004294"	"4"	105
"E02004295"	"0"	3213
"E02004295"	"1"	993
"E02004295"	"2"	1677
"E02004295"	"3"	390
"E02004295"	"4"	153
"E02004296"	"0"	3529
"E02004296"	"1"	1010
"E02004296"	"2"	1882
"E02004296"	"3"	437
"E02004296"	"4"	200
"E02004297"	"0"	3550
"E02004297"	"1"	1112
"E02004297"	"2"	1919
"E02004297"	"3"	383
"E02004297"	"4"	136
"E02004298"	"0"	4178
"E02004298"	"1"	1470
