"GEOGRAPHY_CODE"	"CELL"	"OBS_VALUE"
"E06000005"	"0"	105564
"E06000005"	"1"	100025
"E06000005"	"2"	1282
"E06000005"	"3"	339
"E06000005"	"4"	166
"E06000005"	"5"	372
"E06000005"	"6"	90
"E06000005"	"7"	188
"E06000005"	"8"	296
"E06000005"	"9"	894
"E06000005"	"10"	766
"E06000005"	"11"	890
"E06000005"	"12"	223
"E06000005"	"13"	15
"E06000005"	"14"	13
"E06000005"	"15"	4
"E06000005"	"16"	1
"E06000005"	"17"	0
"E06000047"	"0"	513242
"E06000047"	"1"	496579
"E06000047"	"2"	3753
"E06000047"	"3"	857
"E06000047"	"4"	457
"E06000047"	"5"	1041
"E06000047"	"6"	211
"E06000047"	"7"	663
"E06000047"	"8"	1118
"E06000047"	"9"	2784
"E06000047"	"10"	2393
"E06000047"	"11"	2641
"E06000047"	"12"	495
"E06000047"	"13"	65
"E06000047"	"14"	170
"E06000047"	"15"	13
"E06000047"	"16"	2
"E06000047"	"17"	0
"E06000001"	"0"	92028
"E06000001"	"1"	89469
"E06000001"	"2"	585
"E06000001"	"3"	175
"E06000001"	"4"	78
"E06000001"	"5"	158
"E06000001"	"6"	30
"E06000001"	"7"	92
"E06000001"	"8"	121
"E06000001"	"9"	364
"E06000001"	"10"	414
"E06000001"	"11"	432
"E06000001"	"12"	90
"E06000001"	"13"	7
"E06000001"	"14"	10
"E06000001"	"15"	2
"E06000001"	"16"	1
"E06000001"	"17"	0
"E06000002"	"0"	138412
"E06000002"	"1"	127042
"E06000002"	"2"	1494
"E06000002"	"3"	536
"E06000002"	"4"	336
"E06000002"	"5"	740
"E06000002"	"6"	161
"E06000002"	"7"	513
"E06000002"	"8"	920
"E06000002"	"9"	2594
"E06000002"	"10"	1806
"E06000002"	"11"	1897
"E06000002"	"12"	295
"E06000002"	"13"	29
"E06000002"	"14"	38
"E06000002"	"15"	8
"E06000002"	"16"	3
"E06000002"	"17"	0
"E06000057"	"0"	316028
"E06000057"	"1"	307103
"E06000057"	"2"	2444
"E06000057"	"3"	547
"E06000057"	"4"	319
"E06000057"	"5"	560
"E06000057"	"6"	106
"E06000057"	"7"	295
"E06000057"	"8"	439
"E06000057"	"9"	1314
"E06000057"	"10"	1161
"E06000057"	"11"	1325
"E06000057"	"12"	322
"E06000057"	"13"	42
"E06000057"	"14"	32
"E06000057"	"15"	15
"E06000057"	"16"	3
"E06000057"	"17"	1
"E06000003"	"0"	135177
"E06000003"	"1"	132158
"E06000003"	"2"	892
"E06000003"	"3"	192
"E06000003"	"4"	106
"E06000003"	"5"	236
"E06000003"	"6"	47
"E06000003"	"7"	114
"E06000003"	"8"	166
"E06000003"	"9"	447
"E06000003"	"10"	310
"E06000003"	"11"	408
"E06000003"	"12"	78
"E06000003"	"13"	8
"E06000003"	"14"	10
"E06000003"	"15"	5
"E06000003"	"16"	0
"E06000003"	"17"	0
"E06000004"	"0"	191610
"E06000004"	"1"	182769
"E06000004"	"2"	1824
"E06000004"	"3"	511
"E06000004"	"4"	269
"E06000004"	"5"	634
"E06000004"	"6"	116
"E06000004"	"7"	423
"E06000004"	"8"	629
"E06000004"	"9"	1532
"E06000004"	"10"	1226
"E06000004"	"11"	1397
"E06000004"	"12"	229
"E06000004"	"13"	15
"E06000004"	"14"	21
"E06000004"	"15"	14
"E06000004"	"16"	0
"E06000004"	"17"	1
"E08000037"	"0"	200214
"E08000037"	"1"	190351
"E08000037"	"2"	1635
"E08000037"	"3"	440
"E08000037"	"4"	251
"E08000037"	"5"	517
"E08000037"	"6"	148
"E08000037"	"7"	497
"E08000037"	"8"	621
"E08000037"	"9"	2037
"E08000037"	"10"	1712
"E08000037"	"11"	1655
"E08000037"	"12"	287
"E08000037"	"13"	19
"E08000037"	"14"	28
"E08000037"	"15"	11
"E08000037"	"16"	2
"E08000037"	"17"	3
"E08000021"	"0"	280177
"E08000021"	"1"	242598
"E08000021"	"2"	4587
"E08000021"	"3"	1582
"E08000021"	"4"	989
"E08000021"	"5"	2306
"E08000021"	"6"	520
"E08000021"	"7"	1861
"E08000021"	"8"	3188
"E08000021"	"9"	9234
"E08000021"	"10"	5995
"E08000021"	"11"	6185
"E08000021"	"12"	896
"E08000021"	"13"	90
"E08000021"	"14"	110
"E08000021"	"15"	32
"E08000021"	"16"	4
"E08000021"	"17"	0
"E08000022"	"0"	200801
"E08000022"	"1"	192855
"E08000022"	"2"	1666
"E08000022"	"3"	424
"E08000022"	"4"	228
"E08000022"	"5"	513
"E08000022"	"6"	107
"E08000022"	"7"	236
"E08000022"	"8"	362
"E08000022"	"9"	1274
"E08000022"	"10"	1299
"E08000022"	"11"	1498
"E08000022"	"12"	282
"E08000022"	"13"	27
"E08000022"	"14"	21
"E08000022"	"15"	8
"E08000022"	"16"	0
"E08000022"	"17"	1
"E08000023"	"0"	148127
"E08000023"	"1"	143163
"E08000023"	"2"	1033
"E08000023"	"3"	244
"E08000023"	"4"	142
"E08000023"	"5"	360
"E08000023"	"6"	69
"E08000023"	"7"	187
"E08000023"	"8"	282
"E08000023"	"9"	801
"E08000023"	"10"	730
"E08000023"	"11"	902
"E08000023"	"12"	171
"E08000023"	"13"	15
"E08000023"	"14"	21
"E08000023"	"15"	6
"E08000023"	"16"	1
"E08000023"	"17"	0
"E08000024"	"0"	275506
"E08000024"	"1"	264201
"E08000024"	"2"	1847
"E08000024"	"3"	484
"E08000024"	"4"	276
"E08000024"	"5"	674
"E08000024"	"6"	140
"E08000024"	"7"	535
"E08000024"	"8"	963
"E08000024"	"9"	2610
"E08000024"	"10"	1684
"E08000024"	"11"	1784
"E08000024"	"12"	253
"E08000024"	"13"	26
"E08000024"	"14"	20
"E08000024"	"15"	9
"E08000024"	"16"	0
"E08000024"	"17"	0
"E06000008"	"0"	147489
"E06000008"	"1"	125695
"E06000008"	"2"	2404
"E06000008"	"3"	949
"E06000008"	"4"	671
"E06000008"	"5"	1732
"E06000008"	"6"	491
"E06000008"	"7"	1413
"E06000008"	"8"	2226
"E06000008"	"9"	5205
"E06000008"	"10"	3201
"E06000008"	"11"	2789
"E06000008"	"12"	529
"E06000008"	"13"	69
"E06000008"	"14"	82
"E06000008"	"15"	28
"E06000008"	"16"	4
"E06000008"	"17"	1
"E06000009"	"0"	142065
"E06000009"	"1"	134362
"E06000009"	"2"	1370
"E06000009"	"3"	412
"E06000009"	"4"	221
"E06000009"	"5"	496
"E06000009"	"6"	102
"E06000009"	"7"	300
"E06000009"	"8"	452
"E06000009"	"9"	1483
"E06000009"	"10"	1226
"E06000009"	"11"	1298
"E06000009"	"12"	282
"E06000009"	"13"	31
"E06000009"	"14"	19
"E06000009"	"15"	8
"E06000009"	"16"	3
"E06000009"	"17"	0
"E06000049"	"0"	370127
"E06000049"	"1"	349833
"E06000049"	"2"	4019
"E06000049"	"3"	1102
"E06000049"	"4"	653
"E06000049"	"5"	1291
"E06000049"	"6"	237
"E06000049"	"7"	646
"E06000049"	"8"	1144
"E06000049"	"9"	3500
"E06000049"	"10"	3099
"E06000049"	"11"	3704
"E06000049"	"12"	773
"E06000049"	"13"	46
"E06000049"	"14"	56
"E06000049"	"15"	19
"E06000049"	"16"	2
"E06000049"	"17"	3
"E06000050"	"0"	329608
"E06000050"	"1"	313621
"E06000050"	"2"	3346
"E06000050"	"3"	875
"E06000050"	"4"	492
"E06000050"	"5"	987
"E06000050"	"6"	191
"E06000050"	"7"	613
"E06000050"	"8"	960
"E06000050"	"9"	2878
"E06000050"	"10"	2371
"E06000050"	"11"	2585
"E06000050"	"12"	564
"E06000050"	"13"	54
"E06000050"	"14"	52
"E06000050"	"15"	18
"E06000050"	"16"	1
"E06000050"	"17"	0
"E06000006"	"0"	125746
"E06000006"	"1"	122361
"E06000006"	"2"	836
"E06000006"	"3"	199
"E06000006"	"4"	99
"E06000006"	"5"	237
"E06000006"	"6"	51
"E06000006"	"7"	127
"E06000006"	"8"	201
"E06000006"	"9"	604
"E06000006"	"10"	405
"E06000006"	"11"	476
"E06000006"	"12"	126
"E06000006"	"13"	8
"E06000006"	"14"	11
"E06000006"	"15"	4
"E06000006"	"16"	1
"E06000006"	"17"	0
"E06000007"	"0"	202228
