"GEOGRAPHY_CODE"	"CELL"	"OBS_VALUE"
"E06000005"	"0"	86637
"E06000005"	"1"	10039
"E06000005"	"2"	2670
"E06000005"	"3"	16
"E06000005"	"4"	2654
"E06000005"	"5"	7369
"E06000005"	"6"	3976
"E06000005"	"7"	2495
"E06000005"	"8"	788
"E06000005"	"9"	110
"E06000005"	"10"	19662
"E06000005"	"11"	11244
"E06000005"	"12"	8759
"E06000005"	"13"	1408
"E06000005"	"14"	887
"E06000005"	"15"	190
"E06000005"	"16"	5131
"E06000005"	"17"	3287
"E06000005"	"18"	10239
"E06000005"	"19"	4954
"E06000005"	"20"	3760
"E06000005"	"21"	868
"E06000005"	"22"	657
"E06000005"	"23"	8751
"E06000005"	"24"	2672
"E06000005"	"25"	2578
"E06000005"	"26"	94
"E06000005"	"27"	6079
"E06000005"	"28"	5796
"E06000005"	"29"	283
"E06000005"	"30"	8035
"E06000005"	"31"	3995
"E06000005"	"32"	4040
"E06000005"	"33"	3601
"E06000005"	"34"	439
"E06000005"	"35"	12721
"E06000005"	"36"	3538
"E06000005"	"37"	5194
"E06000005"	"38"	1276
"E06000005"	"39"	1752
"E06000005"	"40"	101
"E06000005"	"41"	675
"E06000005"	"42"	185
"E06000005"	"43"	11990
"E06000005"	"44"	1358
"E06000005"	"45"	700
"E06000005"	"46"	4939
"E06000005"	"47"	4888
"E06000005"	"48"	105
"E06000005"	"49"	4249
"E06000005"	"50"	2132
"E06000005"	"51"	2117
"E06000005"	"52"	951
"E06000005"	"53"	933
"E06000005"	"54"	18
"E06000047"	"0"	411764
"E06000047"	"1"	42156
"E06000047"	"2"	12009
"E06000047"	"3"	33
"E06000047"	"4"	11976
"E06000047"	"5"	30147
"E06000047"	"6"	18083
"E06000047"	"7"	8315
"E06000047"	"8"	3194
"E06000047"	"9"	555
"E06000047"	"10"	84095
"E06000047"	"11"	49291
"E06000047"	"12"	40323
"E06000047"	"13"	5027
"E06000047"	"14"	3179
"E06000047"	"15"	762
"E06000047"	"16"	21065
"E06000047"	"17"	13739
"E06000047"	"18"	43172
"E06000047"	"19"	21174
"E06000047"	"20"	15629
"E06000047"	"21"	4027
"E06000047"	"22"	2342
"E06000047"	"23"	40437
"E06000047"	"24"	12227
"E06000047"	"25"	11445
"E06000047"	"26"	782
"E06000047"	"27"	28210
"E06000047"	"28"	26042
"E06000047"	"29"	2168
"E06000047"	"30"	41839
"E06000047"	"31"	21464
"E06000047"	"32"	20375
"E06000047"	"33"	17511
"E06000047"	"34"	2864
"E06000047"	"35"	65313
"E06000047"	"36"	13984
"E06000047"	"37"	25412
"E06000047"	"38"	7549
"E06000047"	"39"	13248
"E06000047"	"40"	662
"E06000047"	"41"	3022
"E06000047"	"42"	1436
"E06000047"	"43"	66138
"E06000047"	"44"	5225
"E06000047"	"45"	6604
"E06000047"	"46"	27984
"E06000047"	"47"	25827
"E06000047"	"48"	498
"E06000047"	"49"	18735
"E06000047"	"50"	10585
"E06000047"	"51"	8150
"E06000047"	"52"	9879
"E06000047"	"53"	9867
"E06000047"	"54"	12
"E06000001"	"0"	76250
"E06000001"	"1"	6026
"E06000001"	"2"	1806
"E06000001"	"3"	3
"E06000001"	"4"	1803
"E06000001"	"5"	4220
"E06000001"	"6"	2515
"E06000001"	"7"	1120
"E06000001"	"8"	485
"E06000001"	"9"	100
"E06000001"	"10"	14667
"E06000001"	"11"	9011
"E06000001"	"12"	7624
"E06000001"	"13"	752
"E06000001"	"14"	536
"E06000001"	"15"	99
"E06000001"	"16"	3417
"E06000001"	"17"	2239
"E06000001"	"18"	7538
"E06000001"	"19"	3290
"E06000001"	"20"	2822
"E06000001"	"21"	840
"E06000001"	"22"	586
"E06000001"	"23"	6975
"E06000001"	"24"	2190
"E06000001"	"25"	2094
"E06000001"	"26"	96
"E06000001"	"27"	4785
"E06000001"	"28"	4662
"E06000001"	"29"	123
"E06000001"	"30"	8586
"E06000001"	"31"	4197
"E06000001"	"32"	4389
"E06000001"	"33"	3527
"E06000001"	"34"	862
"E06000001"	"35"	12358
"E06000001"	"36"	3127
"E06000001"	"37"	4796
"E06000001"	"38"	1300
"E06000001"	"39"	2251
"E06000001"	"40"	54
"E06000001"	"41"	596
"E06000001"	"42"	234
"E06000001"	"43"	12881
"E06000001"	"44"	1263
"E06000001"	"45"	922
"E06000001"	"46"	5301
"E06000001"	"47"	5340
"E06000001"	"48"	55
"E06000001"	"49"	6410
"E06000001"	"50"	3534
"E06000001"	"51"	2876
"E06000001"	"52"	809
"E06000001"	"53"	809
"E06000001"	"54"	0
"E06000002"	"0"	116214
"E06000002"	"1"	8166
"E06000002"	"2"	2011
"E06000002"	"3"	0
"E06000002"	"4"	2011
"E06000002"	"5"	6155
"E06000002"	"6"	3668
"E06000002"	"7"	1665
"E06000002"	"8"	685
"E06000002"	"9"	137
"E06000002"	"10"	19888
"E06000002"	"11"	12176
"E06000002"	"12"	9989
"E06000002"	"13"	1137
"E06000002"	"14"	833
"E06000002"	"15"	217
"E06000002"	"16"	4879
"E06000002"	"17"	2833
"E06000002"	"18"	11173
"E06000002"	"19"	5023
"E06000002"	"20"	3774
"E06000002"	"21"	1610
"E06000002"	"22"	766
"E06000002"	"23"	10496
"E06000002"	"24"	2870
"E06000002"	"25"	2852
"E06000002"	"26"	18
"E06000002"	"27"	7626
"E06000002"	"28"	7576
"E06000002"	"29"	50
"E06000002"	"30"	11467
"E06000002"	"31"	6063
"E06000002"	"32"	5404
"E06000002"	"33"	4526
"E06000002"	"34"	878
"E06000002"	"35"	20158
"E06000002"	"36"	5048
"E06000002"	"37"	8782
"E06000002"	"38"	1536
"E06000002"	"39"	3543
"E06000002"	"40"	61
"E06000002"	"41"	899
"E06000002"	"42"	289
"E06000002"	"43"	19225
"E06000002"	"44"	2255
"E06000002"	"45"	1471
"E06000002"	"46"	7022
"E06000002"	"47"	8372
"E06000002"	"48"	105
"E06000002"	"49"	10906
"E06000002"	"50"	6776
"E06000002"	"51"	4130
"E06000002"	"52"	4735
"E06000002"	"53"	4724
"E06000002"	"54"	11
"E06000057"	"0"	250006
"E06000057"	"1"	32220
"E06000057"	"2"	8492
"E06000057"	"3"	90
"E06000057"	"4"	8402
"E06000057"	"5"	23728
"E06000057"	"6"	12473
"E06000057"	"7"	6990
"E06000057"	"8"	3804
"E06000057"	"9"	461
"E06000057"	"10"	58237
"E06000057"	"11"	33084
"E06000057"	"12"	25914
"E06000057"	"13"	3533
"E06000057"	"14"	3008
"E06000057"	"15"	629
"E06000057"	"16"	15580
"E06000057"	"17"	9573
"E06000057"	"18"	26292
"E06000057"	"19"	13056
"E06000057"	"20"	8808
"E06000057"	"21"	3007
"E06000057"	"22"	1421
"E06000057"	"23"	31816
"E06000057"	"24"	10362
"E06000057"	"25"	8815
"E06000057"	"26"	1547
"E06000057"	"27"	21454
"E06000057"	"28"	18435
"E06000057"	"29"	3019
"E06000057"	"30"	24475
"E06000057"	"31"	12953
"E06000057"	"32"	11522
"E06000057"	"33"	9722
"E06000057"	"34"	1800
"E06000057"	"35"	34585
"E06000057"	"36"	7890
"E06000057"	"37"	13947
"E06000057"	"38"	3421
"E06000057"	"39"	5483
"E06000057"	"40"	1152
"E06000057"	"41"	1860
"E06000057"	"42"	832
"E06000057"	"43"	31771
"E06000057"	"44"	3239
"E06000057"	"45"	2996
"E06000057"	"46"	13335
"E06000057"	"47"	11887
"E06000057"	"48"	314
"E06000057"	"49"	9034
"E06000057"	"50"	4416
"E06000057"	"51"	4618
"E06000057"	"52"	1576
"E06000057"	"53"	1567
"E06000057"	"54"	9
"E06000003"	"0"	108620
"E06000003"	"1"	8836
"E06000003"	"2"	2548
"E06000003"	"3"	7
"E06000003"	"4"	2541
"E06000003"	"5"	6288
"E06000003"	"6"	3803
"E06000003"	"7"	1744
"E06000003"	"8"	664
"E06000003"	"9"	77
"E06000003"	"10"	21805
"E06000003"	"11"	13570
"E06000003"	"12"	11243
"E06000003"	"13"	1203
"E06000003"	"14"	962
"E06000003"	"15"	162
"E06000003"	"16"	4862
"E06000003"	"17"	3373
"E06000003"	"18"	10612
"E06000003"	"19"	5336
"E06000003"	"20"	3376
"E06000003"	"21"	1258
"E06000003"	"22"	642
"E06000003"	"23"	9852
"E06000003"	"24"	2854
"E06000003"	"25"	2746
"E06000003"	"26"	108
"E06000003"	"27"	6998
"E06000003"	"28"	6758
"E06000003"	"29"	240
"E06000003"	"30"	14518
"E06000003"	"31"	6891
"E06000003"	"32"	7627
"E06000003"	"33"	5793
"E06000003"	"34"	1834
"E06000003"	"35"	17621
"E06000003"	"36"	4302
"E06000003"	"37"	7360
"E06000003"	"38"	1787
"E06000003"	"39"	2798
"E06000003"	"40"	103
"E06000003"	"41"	918
"E06000003"	"42"	353
"E06000003"	"43"	17182
"E06000003"	"44"	1910
"E06000003"	"45"	1168
"E06000003"	"46"	6625
"E06000003"	"47"	7330
"E06000003"	"48"	149
"E06000003"	"49"	7130
"E06000003"	"50"	3576
"E06000003"	"51"	3554
"E06000003"	"52"	1064
"E06000003"	"53"	1064
"E06000003"	"54"	0
"E06000004"	"0"	159323
"E06000004"	"1"	17980
"E06000004"	"2"	4832
"E06000004"	"3"	31
"E06000004"	"4"	4801
"E06000004"	"5"	13148
"E06000004"	"6"	7367
"E06000004"	"7"	3780
"E06000004"	"8"	1717
"E06000004"	"9"	284
"E06000004"	"10"	36582
"E06000004"	"11"	22253
"E06000004"	"12"	18040
"E06000004"	"13"	2398
"E06000004"	"14"	1545
"E06000004"	"15"	270
"E06000004"	"16"	9030
"E06000004"	"17"	5299
"E06000004"	"18"	17512
"E06000004"	"19"	8118
"E06000004"	"20"	6450
"E06000004"	"21"	1936
"E06000004"	"22"	1008
"E06000004"	"23"	14653
"E06000004"	"24"	4404
"E06000004"	"25"	4287
"E06000004"	"26"	117
"E06000004"	"27"	10249
"E06000004"	"28"	10062
"E06000004"	"29"	187
"E06000004"	"30"	17109
"E06000004"	"31"	8241
"E06000004"	"32"	8868
"E06000004"	"33"	7094
"E06000004"	"34"	1774
"E06000004"	"35"	22691
"E06000004"	"36"	6259
"E06000004"	"37"	8754
"E06000004"	"38"	2333
"E06000004"	"39"	3483
"E06000004"	"40"	85
"E06000004"	"41"	1451
"E06000004"	"42"	326
"E06000004"	"43"	21878
"E06000004"	"44"	2210
"E06000004"	"45"	1556
"E06000004"	"46"	9303
"E06000004"	"47"	8646
"E06000004"	"48"	163
"E06000004"	"49"	8637
"E06000004"	"50"	4555
"E06000004"	"51"	4082
"E06000004"	"52"	2281
"E06000004"	"53"	2267
"E06000004"	"54"	14
"E08000037"	"0"	163728
"E08000037"	"1"	17714
"E08000037"	"2"	4260
"E08000037"	"3"	27
"E08000037"	"4"	4233
"E08000037"	"5"	13454
"E08000037"	"6"	7628
"E08000037"	"7"	4611
"E08000037"	"8"	1027
"E08000037"	"9"	188
"E08000037"	"10"	34915
"E08000037"	"11"	21090
"E08000037"	"12"	16951
"E08000037"	"13"	2439
"E08000037"	"14"	1372
"E08000037"	"15"	328
"E08000037"	"16"	8785
"E08000037"	"17"	5040
"E08000037"	"18"	18832
"E08000037"	"19"	10500
"E08000037"	"20"	5704
"E08000037"	"21"	1641
"E08000037"	"22"	987
"E08000037"	"23"	14510
"E08000037"	"24"	4216
"E08000037"	"25"	4169
"E08000037"	"26"	47
"E08000037"	"27"	10294
"E08000037"	"28"	10106
"E08000037"	"29"	188
"E08000037"	"30"	16262
"E08000037"	"31"	8316
"E08000037"	"32"	7946
"E08000037"	"33"	7055
"E08000037"	"34"	891
"E08000037"	"35"	25921
"E08000037"	"36"	7096
"E08000037"	"37"	10008
"E08000037"	"38"	3068
"E08000037"	"39"	3721
"E08000037"	"40"	102
"E08000037"	"41"	1406
"E08000037"	"42"	520
"E08000037"	"43"	25204
"E08000037"	"44"	2625
"E08000037"	"45"	2157
"E08000037"	"46"	9551
"E08000037"	"47"	10764
"E08000037"	"48"	107
"E08000037"	"49"	8162
"E08000037"	"50"	4657
"E08000037"	"51"	3505
"E08000037"	"52"	2208
"E08000037"	"53"	2202
"E08000037"	"54"	6
"E08000021"	"0"	234374
"E08000021"	"1"	30402
"E08000021"	"2"	4854
"E08000021"	"3"	34
"E08000021"	"4"	4820
"E08000021"	"5"	25548
"E08000021"	"6"	16308
"E08000021"	"7"	5721
"E08000021"	"8"	3161
"E08000021"	"9"	358
"E08000021"	"10"	42797
"E08000021"	"11"	26916
"E08000021"	"12"	21184
"E08000021"	"13"	2909
"E08000021"	"14"	2298
"E08000021"	"15"	525
"E08000021"	"16"	10096
"E08000021"	"17"	5785
"E08000021"	"18"	22207
"E08000021"	"19"	12529
"E08000021"	"20"	6550
"E08000021"	"21"	2090
"E08000021"	"22"	1038
"E08000021"	"23"	21119
"E08000021"	"24"	6417
"E08000021"	"25"	6372
"E08000021"	"26"	45
"E08000021"	"27"	14702
"E08000021"	"28"	14602
"E08000021"	"29"	100
"E08000021"	"30"	17371
"E08000021"	"31"	9190
"E08000021"	"32"	8181
"E08000021"	"33"	7474
"E08000021"	"34"	707
"E08000021"	"35"	30884
"E08000021"	"36"	8687
"E08000021"	"37"	13829
"E08000021"	"38"	2161
"E08000021"	"39"	3574
"E08000021"	"40"	102
"E08000021"	"41"	1623
"E08000021"	"42"	908
"E08000021"	"43"	29100
"E08000021"	"44"	4404
"E08000021"	"45"	1827
"E08000021"	"46"	9634
"E08000021"	"47"	13128
"E08000021"	"48"	107
"E08000021"	"49"	15345
"E08000021"	"50"	10104
"E08000021"	"51"	5241
"E08000021"	"52"	25149
"E08000021"	"53"	25124
"E08000021"	"54"	25
"E08000022"	"0"	165145
"E08000022"	"1"	21216
"E08000022"	"2"	4672
"E08000022"	"3"	23
