"GEOGRAPHY_CODE"	"CELL"	"OBS_VALUE"
"E00062207"	"0"	204
"E00062207"	"1"	47
"E00062207"	"2"	73
"E00062207"	"3"	14
"E00062207"	"4"	79
"E00062207"	"5"	25
"E00062207"	"6"	17
"E00062207"	"7"	33
"E00062207"	"8"	26
"E00062207"	"9"	34
"E00062207"	"10"	19
"E00062207"	"11"	34
"E00062207"	"12"	45
"E00062207"	"13"	0
"E00062208"	"0"	353
"E00062208"	"1"	51
"E00062208"	"2"	135
"E00062208"	"3"	34
"E00062208"	"4"	144
"E00062208"	"5"	68
"E00062208"	"6"	41
"E00062208"	"7"	62
"E00062208"	"8"	68
"E00062208"	"9"	68
"E00062208"	"10"	32
"E00062208"	"11"	76
"E00062208"	"12"	86
"E00062208"	"13"	12
"E00062209"	"0"	178
"E00062209"	"1"	27
"E00062209"	"2"	52
"E00062209"	"3"	6
"E00062209"	"4"	94
"E00062209"	"5"	26
"E00062209"	"6"	22
"E00062209"	"7"	37
"E00062209"	"8"	25
"E00062209"	"9"	32
"E00062209"	"10"	11
"E00062209"	"11"	49
"E00062209"	"12"	40
"E00062209"	"13"	0
"E00062210"	"0"	91
"E00062210"	"1"	12
"E00062210"	"2"	24
"E00062210"	"3"	7
"E00062210"	"4"	44
"E00062210"	"5"	8
"E00062210"	"6"	10
"E00062210"	"7"	27
"E00062210"	"8"	11
"E00062210"	"9"	26
"E00062210"	"10"	7
"E00062210"	"11"	26
"E00062210"	"12"	18
"E00062210"	"13"	1
"E00062211"	"0"	123
"E00062211"	"1"	21
"E00062211"	"2"	38
"E00062211"	"3"	9
"E00062211"	"4"	60
"E00062211"	"5"	25
"E00062211"	"6"	10
"E00062211"	"7"	20
"E00062211"	"8"	9
"E00062211"	"9"	24
"E00062211"	"10"	7
"E00062211"	"11"	24
"E00062211"	"12"	27
"E00062211"	"13"	2
"E00062212"	"0"	198
"E00062212"	"1"	22
"E00062212"	"2"	75
"E00062212"	"3"	17
"E00062212"	"4"	97
"E00062212"	"5"	24
"E00062212"	"6"	12
"E00062212"	"7"	50
"E00062212"	"8"	24
"E00062212"	"9"	47
"E00062212"	"10"	8
"E00062212"	"11"	41
"E00062212"	"12"	52
"E00062212"	"13"	1
"E00174202"	"0"	259
"E00174202"	"1"	11
"E00174202"	"2"	103
"E00174202"	"3"	25
"E00174202"	"4"	136
"E00174202"	"5"	52
"E00174202"	"6"	25
"E00174202"	"7"	54
"E00174202"	"8"	68
"E00174202"	"9"	71
"E00174202"	"10"	30
"E00174202"	"11"	70
"E00174202"	"12"	68
"E00174202"	"13"	3
"E00174206"	"0"	242
"E00174206"	"1"	13
"E00174206"	"2"	107
"E00174206"	"3"	22
"E00174206"	"4"	126
"E00174206"	"5"	49
"E00174206"	"6"	18
"E00174206"	"7"	58
"E00174206"	"8"	58
"E00174206"	"9"	60
"E00174206"	"10"	30
"E00174206"	"11"	64
"E00174206"	"12"	65
"E00174206"	"13"	3
"E00174208"	"0"	236
"E00174208"	"1"	37
"E00174208"	"2"	70
"E00174208"	"3"	8
"E00174208"	"4"	116
"E00174208"	"5"	38
"E00174208"	"6"	24
"E00174208"	"7"	55
"E00174208"	"8"	31
"E00174208"	"9"	58
"E00174208"	"10"	17
"E00174208"	"11"	68
"E00174208"	"12"	52
"E00174208"	"13"	5
"E00062202"	"0"	223
"E00062202"	"1"	18
"E00062202"	"2"	100
"E00062202"	"3"	14
"E00062202"	"4"	116
"E00062202"	"5"	29
"E00062202"	"6"	31
"E00062202"	"7"	59
"E00062202"	"8"	33
"E00062202"	"9"	61
"E00062202"	"10"	22
"E00062202"	"11"	69
"E00062202"	"12"	51
"E00062202"	"13"	5
"E00062203"	"0"	223
"E00062203"	"1"	63
"E00062203"	"2"	82
"E00062203"	"3"	27
"E00062203"	"4"	75
"E00062203"	"5"	38
"E00062203"	"6"	15
"E00062203"	"7"	35
"E00062203"	"8"	30
"E00062203"	"9"	36
"E00062203"	"10"	13
"E00062203"	"11"	40
"E00062203"	"12"	35
"E00062203"	"13"	3
"E00062204"	"0"	241
"E00062204"	"1"	39
"E00062204"	"2"	79
"E00062204"	"3"	15
"E00062204"	"4"	101
"E00062204"	"5"	39
"E00062204"	"6"	45
"E00062204"	"7"	46
"E00062204"	"8"	33
"E00062204"	"9"	46
"E00062204"	"10"	28
"E00062204"	"11"	58
"E00062204"	"12"	54
"E00062204"	"13"	6
"E00062205"	"0"	237
"E00062205"	"1"	41
"E00062205"	"2"	75
"E00062205"	"3"	18
"E00062205"	"4"	92
"E00062205"	"5"	34
"E00062205"	"6"	34
"E00062205"	"7"	53
"E00062205"	"8"	28
"E00062205"	"9"	56
"E00062205"	"10"	11
"E00062205"	"11"	63
"E00062205"	"12"	62
"E00062205"	"13"	1
"E00062206"	"0"	229
"E00062206"	"1"	33
"E00062206"	"2"	92
"E00062206"	"3"	20
"E00062206"	"4"	95
"E00062206"	"5"	37
"E00062206"	"6"	23
"E00062206"	"7"	41
"E00062206"	"8"	32
"E00062206"	"9"	48
"E00062206"	"10"	24
"E00062206"	"11"	55
"E00062206"	"12"	64
"E00062206"	"13"	1
"E00062379"	"0"	307
"E00062379"	"1"	45
"E00062379"	"2"	108
"E00062379"	"3"	23
"E00062379"	"4"	142
"E00062379"	"5"	48
"E00062379"	"6"	23
"E00062379"	"7"	75
"E00062379"	"8"	47
"E00062379"	"9"	50
"E00062379"	"10"	36
"E00062379"	"11"	82
"E00062379"	"12"	85
"E00062379"	"13"	1
"E00062380"	"0"	134
"E00062380"	"1"	20
"E00062380"	"2"	47
"E00062380"	"3"	10
"E00062380"	"4"	66
"E00062380"	"5"	31
"E00062380"	"6"	15
"E00062380"	"7"	27
"E00062380"	"8"	25
"E00062380"	"9"	26
"E00062380"	"10"	14
"E00062380"	"11"	30
"E00062380"	"12"	24
"E00062380"	"13"	0
"E00062381"	"0"	111
"E00062381"	"1"	27
"E00062381"	"2"	40
"E00062381"	"3"	14
"E00062381"	"4"	35
"E00062381"	"5"	22
"E00062381"	"6"	14
"E00062381"	"7"	15
"E00062381"	"8"	13
"E00062381"	"9"	14
"E00062381"	"10"	9
"E00062381"	"11"	19
"E00062381"	"12"	20
"E00062381"	"13"	2
"E00062382"	"0"	169
"E00062382"	"1"	21
"E00062382"	"2"	59
"E00062382"	"3"	22
"E00062382"	"4"	74
"E00062382"	"5"	33
"E00062382"	"6"	19
"E00062382"	"7"	32
"E00062382"	"8"	33
"E00062382"	"9"	26
"E00062382"	"10"	9
"E00062382"	"11"	28
"E00062382"	"12"	41
"E00062382"	"13"	4
"E00062383"	"0"	169
"E00062383"	"1"	26
"E00062383"	"2"	54
"E00062383"	"3"	7
"E00062383"	"4"	88
"E00062383"	"5"	17
"E00062383"	"6"	15
"E00062383"	"7"	42
"E00062383"	"8"	13
"E00062383"	"9"	36
"E00062383"	"10"	9
"E00062383"	"11"	39
"E00062383"	"12"	29
"E00062383"	"13"	2
"E00062384"	"0"	273
"E00062384"	"1"	71
"E00062384"	"2"	99
"E00062384"	"3"	26
"E00062384"	"4"	94
"E00062384"	"5"	46
"E00062384"	"6"	24
"E00062384"	"7"	51
"E00062384"	"8"	43
"E00062384"	"9"	53
"E00062384"	"10"	24
"E00062384"	"11"	55
"E00062384"	"12"	52
"E00062384"	"13"	0
"E00062385"	"0"	321
"E00062385"	"1"	56
"E00062385"	"2"	103
"E00062385"	"3"	21
"E00062385"	"4"	134
"E00062385"	"5"	45
"E00062385"	"6"	45
"E00062385"	"7"	63
"E00062385"	"8"	56
"E00062385"	"9"	69
"E00062385"	"10"	18
"E00062385"	"11"	83
"E00062385"	"12"	81
"E00062385"	"13"	6
"E00062386"	"0"	234
"E00062386"	"1"	68
"E00062386"	"2"	71
"E00062386"	"3"	21
"E00062386"	"4"	57
"E00062386"	"5"	37
"E00062386"	"6"	23
"E00062386"	"7"	25
"E00062386"	"8"	29
"E00062386"	"9"	22
"E00062386"	"10"	16
"E00062386"	"11"	29
"E00062386"	"12"	48
"E00062386"	"13"	2
"E00174203"	"0"	170
"E00174203"	"1"	26
"E00174203"	"2"	62
"E00174203"	"3"	27
"E00174203"	"4"	86
"E00174203"	"5"	50
"E00174203"	"6"	18
"E00174203"	"7"	38
"E00174203"	"8"	38
"E00174203"	"9"	39
"E00174203"	"10"	15
"E00174203"	"11"	25
"E00174203"	"12"	27
"E00174203"	"13"	5
"E00174204"	"0"	232
"E00174204"	"1"	19
"E00174204"	"2"	106
"E00174204"	"3"	39
"E00174204"	"4"	102
"E00174204"	"5"	66
"E00174204"	"6"	28
"E00174204"	"7"	58
"E00174204"	"8"	52
"E00174204"	"9"	50
"E00174204"	"10"	25
"E00174204"	"11"	43
"E00174204"	"12"	70
